"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"1637";"GER DIVISIONAL SP";"VP COMERCIAL";"VENDAS";""
"3233";"DF SUP M&A";"PRESIDENCIA";"LOGISTICA";""
"1987";"PR - ASSOCIATIVISMO";"VP COMERCIAL";"VENDAS";""
"2668";"ROS - 313 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2126";"EQUIPE MG SUL 2";"VP COMERCIAL";"VENDAS";""
"3091";"TMO - 134 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2401";"DML - 43 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2213";"EQUIPES REDES PB";"VP COMERCIAL";"VENDAS";""
"2015";"DF EQUIPE D&E TRANSPORTE";"PRESIDENCIA";"LOGISTICA";""
"2582";"ROS - 348 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2120";"EQUIPE RJ";"VP COMERCIAL";"VENDAS";""
"198";"GER REGIONAL TMO 3";"VP VAREJO";"OPERACOES LOJAS";""
"2509";"DML - 36 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3302";"MT EQUIPE CGG";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2623";"ROS - 335 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2717";"ROS - 321 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2221";"GO EQUIPE ADM CRDK";"PRESIDENCIA";"LOGISTICA";""
"1452";"COORD SUPPLY CHAIN GRANDES CONTAS COMERCIAL";"PRESIDENCIA";"SUPPLY CHAIN";""
"1988";"RJ - EMS";"VP COMERCIAL";"VENDAS";""
"2970";"TMO - 149 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3227";"EQUIPE REDES PE/PB/AL";"VP COMERCIAL";"VENDAS";""
"2222";"GO EQUIPE CRDK";"PRESIDENCIA";"LOGISTICA";""
"2504";"DML - 14 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"122";"COORD REMUNERACAO";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2502";"DML - 622 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"1725";"DF EQUIPE PICKING - T3";"PRESIDENCIA";"LOGISTICA";""
"1950";"EQUIPES RJ 2";"VP COMERCIAL";"VENDAS";""
"3737";"TMO - 232 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3124";"DML - 628 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3009";"TMO - 163 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3518";"GER SEGURANCA DA INFORMACAO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3330";"ROS - 331 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2953";"TMO - 190 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3346";"ROS - 414 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3171";"DML - 626 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3401";"ROS - 407 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2841";"TMO - 164 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"212";"EQUIPE GC";"PRESIDENCIA";"SUPPLY CHAIN VAREJO";""
"3578";"GER COMERCIAL DERMATO SPECIALTY";"VP SPECIALTY";"VP SPECIALTY";""
"2950";"TMO - 182 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3274";"GER REGIONAL OPERACOES SUL";"PRESIDENCIA";"LOGISTICA";""
"2097";"SUP CONTAS MG 2";"VP COMERCIAL";"VENDAS";""
"1817";"MG ENCARREGADO D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"166";"EQUIPE CRM";"VP VAREJO";"MARKETING VAREJO";""
"3392";"ROS - 324 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3149";"ROS - 324 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"3216";"GER NOVAS LOJAS";"VP VAREJO";"OPERACOES VAREJO";""
"1836";"AL SUP M&A";"PRESIDENCIA";"LOGISTICA";""
"3415";"TMO - EQUIPE NOVAS LOJAS";"VP VAREJO";"OPERACOES VAREJO";""
"3258";"MG EQUIPE PICKING - T3";"PRESIDENCIA";"LOGISTICA";""
"2854";"TMO - 115 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2695";"ROS - 328 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3555";"GER MEX";"VP VAREJO";"MARKETING VAREJO";""
"3619";"TMO - 135 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1573";"SPC EQUIPE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"3712";"ESPEC. CANAIS DIGITAIS";"VP COMERCIAL";"MARKETING";""
"2493";"DML - 38 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3644";"TMO - 227 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2574";"ROS - 314 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2025";"ENCARREGADO PEDIDO ELETRONICO CD";"VP COMERCIAL";"MARKETING";""
